"description","regex"
"Test whether the input is a string of four letters and two digits separated by a slash.","^[A-Za-z]{4}/[0-9]{2}$"
"Validate a string of exactly one special character.","^[!@#$%^&*]$"
"Find a string containing the standalone whole word 'node'.","^.*\bnode\b.*$"
"Detect a string where the substring 'hour' is immediately followed by a four-digit id.","^.*hour\d{4}.*$"
"Find a string where the substring 'batch' is immediately followed by a five-digit id.","^.*batch\d{5}.*$"
"Check if the input is a string where the substring 'account' is immediately followed by a six-digit id.","^.*account\d{6}.*$"
"Match a string of between four and eight uppercase letters.","^[A-Z]{4,8}$"
"Find a string where the substring 'job' is immediately followed by a four-digit id.","^.*job\d{4}.*$"
"Detect a string of four lowercase letters and two digits separated by a dot.","^[a-z]{4}\.[0-9]{2}$"
"Capture a string made of three lowercase letters followed by four digits.","^[a-z]{3}[0-9]{4}$"
"Test whether the input is a string of exactly five lowercase letters.","^[a-z]{5}$"
"Identify a string of at least two digits.","^[0-9]{2,}$"
"Extract a string of between four and eight whitespace characters.","^\s{4,8}$"
"Detect a string that is exactly the word 'phone'.","^phone$"
"Identify a string of exactly one special character.","^[!@#$%^&*]$"
"Extract a string where the substring 'state' is immediately followed by a two-digit id.","^.*state\d{2}.*$"
"Match a string of word characters that does not start with the word 'Data', using a negative lookahead.","^(?!Data)\w+$"
"Detect a string of three letters and three digits separated by a colon.","^[A-Za-z]{3}:[0-9]{3}$"
"Find a string of four lowercase letters and three digits separated by a slash.","^[a-z]{4}/[0-9]{3}$"
"Search for a string of two lowercase letters and four digits separated by a colon.","^[a-z]{2}:[0-9]{4}$"
"Capture a string of one or more hexadecimal digits.","^[0-9A-Fa-f]+$"
"Test whether the input is a string where the word 'batch' is followed by one or more digits.","^.*batch\d+.*$"
"Match a string of exactly twelve digits.","^[0-9]{12}$"
"Find a string of between five and ten alphanumeric characters.","^[A-Za-z0-9]{5,10}$"
"Search for a string where the substring 'cache' is immediately followed by a two-digit id.","^.*cache\d{2}.*$"
"Test whether the input is a string where the substring 'minute' is immediately followed by a four-digit id.","^.*minute\d{4}.*$"
"Find a string of between two and four hexadecimal digits.","^[0-9A-Fa-f]{2,4}$"
"Check if the input is a string that is exactly the word 'report'.","^report$"
"Identify a string of three lowercase letters and three digits separated by a hyphen.","^[a-z]{3}-[0-9]{3}$"
"Capture a string where the substring 'country' is immediately followed by a two-digit id.","^.*country\d{2}.*$"
"Validate a string of three uppercase letters and four digits separated by a slash.","^[A-Z]{3}/[0-9]{4}$"
"Test whether the input is a string of word characters that does not start with the word 'Code', using a negative lookahead.","^(?!Code)\w+$"
"Extract a string where the word 'config' is followed by one or more digits.","^.*config\d+.*$"
"Identify a string of four lowercase letters and two digits separated by a slash.","^[a-z]{4}/[0-9]{2}$"
"Identify a string where the substring 'user' is immediately followed by a two-digit id.","^.*user\d{2}.*$"
"Check if the input is a string where the substring 'batch' is immediately followed by a three-digit id.","^.*batch\d{3}.*$"
"Test whether the input is a string of word characters that does not start with the word 'Ticket', using a negative lookahead.","^(?!Ticket)\w+$"
"Search for a string where the substring 'invoice' is immediately followed by a six-digit id.","^.*invoice\d{6}.*$"
"Match a string containing the standalone whole word 'total'.","^.*\btotal\b.*$"
"Test whether the input is a string of between one and three hexadecimal digits.","^[0-9A-Fa-f]{1,3}$"
"Match a string where one or more digits come immediately before the word 'invoice'.","^.*\d+invoice.*$"
"Match a string made of two uppercase letters followed by three lowercase letters.","^[A-Z]{2}[a-z]{3}$"
"Identify a string of exactly six digits.","^[0-9]{6}$"
"Detect a string where the word 'state' is followed by one or more digits.","^.*state\d+.*$"
"Validate a string where the substring 'phone' is immediately followed by a six-digit id.","^.*phone\d{6}.*$"
"Capture a string of one or more consonants.","^[bcdfghjklmnpqrstvwxyz]+$"
"Extract a string where one or more digits come immediately before the word 'stack'.","^.*\d+stack.*$"
"Check if the input is a string where the substring 'level' is immediately followed by a two-digit id.","^.*level\d{2}.*$"
"Check if the input is a string where the substring 'year' is immediately followed by a two-digit id.","^.*year\d{2}.*$"
"Test whether the input is a string where the substring 'graph' is immediately followed by a four-digit id.","^.*graph\d{4}.*$"
"Extract a string that ends with the word 'amount'.","^.*amount$"
"Validate a string that starts with the word 'cache'.","^cache.*$"
"Extract a string where the substring 'edge' is immediately followed by a five-digit id.","^.*edge\d{5}.*$"
"Identify a string containing the standalone whole word 'month'.","^.*\bmonth\b.*$"
"Test whether the input is a string of three uppercase letters and two digits separated by a slash.","^[A-Z]{3}/[0-9]{2}$"
"Capture a string where the substring 'task' is immediately followed by a three-digit id.","^.*task\d{3}.*$"
"Capture a string where the substring 'test' is immediately followed by a three-digit id.","^.*test\d{3}.*$"
"Extract a string where the substring 'item' is immediately followed by a four-digit id.","^.*item\d{4}.*$"
"Capture a string where one or more digits come immediately before the word 'day'.","^.*\d+day.*$"
"Check if the input is a string of two letters and four digits separated by a dot.","^[A-Za-z]{2}\.[0-9]{4}$"
"Detect a string that ends with the word 'queue'.","^.*queue$"
"Identify a string where the substring 'day' is immediately followed by a six-digit id.","^.*day\d{6}.*$"
"Identify a string that starts with the word 'admin'.","^admin.*$"
"Identify a string of at least three digits.","^[0-9]{3,}$"
"Detect a string that is exactly the word 'flag'.","^flag$"
"Search for a string where the substring 'stack' is immediately followed by a two-digit id.","^.*stack\d{2}.*$"
"Capture a string containing the same digit repeated five times in a row.","^.*(\d)\1{4}.*$"
"Check if the input is a string that ends with the word 'email'.","^.*email$"
"Search for a string containing the substring 'year'.","^.*year.*$"
"Identify a string of exactly two special characters.","^[!@#$%^&*]{2}$"
"Detect a string of between five and ten lowercase letters.","^[a-z]{5,10}$"
"Find a string that is exactly the word 'node'.","^node$"
"Find a string of two letters and three digits separated by a slash.","^[A-Za-z]{2}/[0-9]{3}$"
"Detect a string where the substring 'state' is immediately followed by a six-digit id.","^.*state\d{6}.*$"
"Identify a string where the substring 'code' is immediately followed by a two-digit id.","^.*code\d{2}.*$"
"Search for a string that is exactly the word 'time'.","^time$"
"Test whether the input is a string that is exactly the word 'flag'.","^flag$"
"Capture a string that is exactly the word 'order'.","^order$"
"Identify a string that starts with the word 'beta'.","^beta.*$"
"Validate a string of four lowercase letters and four digits separated by a colon.","^[a-z]{4}:[0-9]{4}$"
"Test whether the input is a string of one or more uppercase letters.","^[A-Z]+$"
"Test whether the input is a string of at least two letters.","^[A-Za-z]{2,}$"
"Extract a string where the substring 'ticket' is immediately followed by a five-digit id.","^.*ticket\d{5}.*$"
"Check if the input is a string of between two and six hexadecimal digits.","^[0-9A-Fa-f]{2,6}$"
"Capture a string where the substring 'total' is immediately followed by a four-digit id.","^.*total\d{4}.*$"
"Find a string that is exactly the word 'day'.","^day$"
"Test whether the input is a string of word characters that does not start with the word 'Profile', using a negative lookahead.","^(?!Profile)\w+$"
"Search for a string of three lowercase letters and four digits separated by a underscore.","^[a-z]{3}_[0-9]{4}$"
"Check if the input is a string where the substring 'job' is immediately followed by a two-digit id.","^.*job\d{2}.*$"
"Extract a string that starts with the word 'data'.","^data.*$"
"Find a string of zero or more lowercase letters.","^[a-z]*$"
"Extract a string where the substring 'state' is immediately followed by a six-digit id.","^.*state\d{6}.*$"
"Validate a string where the substring 'cache' is immediately followed by a five-digit id.","^.*cache\d{5}.*$"
"Search for a string where the substring 'login' is immediately followed by a five-digit id.","^.*login\d{5}.*$"
"Extract a string that ends with the word 'graph'.","^.*graph$"
"Search for a string of exactly three uppercase letters.","^[A-Z]{3}$"
"Find a string of zero or more alphanumeric characters.","^[A-Za-z0-9]*$"
"Search for a string of four uppercase letters and four digits separated by a underscore.","^[A-Z]{4}_[0-9]{4}$"
"Extract a string where the substring 'date' is immediately followed by a three-digit id.","^.*date\d{3}.*$"
"Detect a string containing the substring 'login'.","^.*login.*$"
"Test whether the input is a string where one or more digits come immediately before the word 'invoice'.","^.*\d+invoice.*$"
"Check if the input is a string containing the standalone whole word 'level'.","^.*\blevel\b.*$"
"Search for a string containing the same character repeated four times in a row.","^.*(\w)\1{3}.*$"
"Check if the input is a string where the word 'order' is followed by one or more digits.","^.*order\d+.*$"
"Test whether the input is a string containing the substring 'email'.","^.*email.*$"
"Validate a string of two letters and three digits separated by a colon.","^[A-Za-z]{2}:[0-9]{3}$"
"Find a string where the substring 'gamma' is immediately followed by a four-digit id.","^.*gamma\d{4}.*$"
"Match a string of exactly eight uppercase letters.","^[A-Z]{8}$"
"Validate a string of four lowercase letters and four digits separated by a slash.","^[a-z]{4}/[0-9]{4}$"
"Test whether the input is a string of exactly three word characters.","^\w{3}$"
"Validate a string that starts with the word 'date'.","^date.*$"
"Search for a string of four lowercase letters and three digits separated by a colon.","^[a-z]{4}:[0-9]{3}$"
"Extract a string where the substring 'amount' is immediately followed by a two-digit id.","^.*amount\d{2}.*$"
"Search for a string where the substring 'address' is immediately followed by a five-digit id.","^.*address\d{5}.*$"
"Extract a string where the substring 'state' is immediately followed by a four-digit id.","^.*state\d{4}.*$"
"Find a string of exactly four hexadecimal digits.","^[0-9A-Fa-f]{4}$"
"Match a string that starts with the word 'amount'.","^amount.*$"
"Capture a string where the substring 'edge' is immediately followed by a four-digit id.","^.*edge\d{4}.*$"
"Test whether the input is a string of exactly six digits.","^[0-9]{6}$"
"Detect a string of two letters and two digits separated by a hyphen.","^[A-Za-z]{2}-[0-9]{2}$"
